id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,66131.0,1320659669903,1,1320659669903,35157609243,68110.0,65727.0,-1097.3088735822093,-1.63221,-23731035404.259277,-1.76519,19999656.0,19999656.0,21000000.0,126080.0,-47.54811,2025-10-06T18:57:42.558Z,67.81,97425.82808,2013-07-06T00:00:00.000Z,,2026-03-08T22:38:34.098Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,1941.68,233429683180,2,233429683180,16913532907,1976.7,1922.33,-23.836899296284855,-1.21275,-4075156652.7652893,-1.71582,120692053.2109886,120692053.2109886,,4946.05,-60.74278,2025-08-24T19:21:03.333Z,0.432979,448347.08193,2015-10-20T00:00:00.000Z,"{'times': 38.27659399901091, 'currency': 'btc', 'percentage': 3827.659399901091}",2026-03-08T22:38:33.969Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,183970396721,3,189437334415,54703306973,1.0,0.999829,2.488e-05,0.00249,8805864.0,0.00479,183970396057.15,189437333731.1362,,1.32,-24.42186,2018-07-24T00:00:00.000Z,0.572521,74.66098,2015-03-02T00:00:00.000Z,,2026-03-08T22:38:39.020Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,614.03,83667619061,4,83667619061,654899853,623.54,609.71,-5.183360355018181,-0.83709,-740003970.0739746,-0.8767,136358407.13,136358407.13,200000000.0,1369.99,-55.18036,2025-10-13T08:41:24.131Z,0.0398177,1541991.43343,2017-10-19T00:00:00.000Z,,2026-03-08T22:38:33.916Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.34,82010799463,5,133924507990,1731657844,1.37,1.33,-0.011066329698918853,-0.81775,-828134711.7316437,-0.99969,61227832454.0,99985701766.0,100000000000.0,3.65,-63.1909,2025-07-18T03:40:53.808Z,0.00268621,49866.33133,2014-05-22T00:00:00.000Z,,2026-03-08T22:38:37.876Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/USDC.png?1769615602,0.999904,77235577653,6,77236960929,2696716090,1.0,0.999811,-0.000119468098519482,-0.01195,-12198173.12286377,-0.01579,77240936146.086,77242319518.0585,,1.043,-4.17456,2018-11-15T00:00:00.000Z,0.877647,13.9302,2023-03-11T08:02:13.981Z,,2026-03-08T22:38:39.671Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,81.55,46461199238,7,50628717100,2536252689,83.89,81.03,-1.3715465625685255,-1.65412,-863410644.9071884,-1.82444,570675942.4364468,621864939.3264029,,293.31,-72.19829,2025-01-19T11:15:27.957Z,0.500801,16183.05773,2020-05-11T19:35:23.449Z,,2026-03-08T22:38:38.889Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.289265,27406189922,8,27406816517,461577131,0.290659,0.286029,0.00306204,1.06988,289990085.0,1.06943,94743251758.6808,94745417898.3794,,0.431288,-32.92992,2024-12-04T00:10:40.323Z,0.00180434,15931.63374,2017-11-12T00:00:00.000Z,"{'times': 151.2449696247017, 'currency': 'usd', 'percentage': 15124.496962470168}",2026-03-08T22:38:39.105Z
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.024,16026442234,9,16026442234,156030,1.024,1.024,0.0,0.0,-4195549.242715836,-0.02617,15655120007.597,15655120007.597,,1.038,-1.38394,2026-03-07T00:30:33.757Z,0.155357,558.9478,2025-10-31T14:27:24.456Z,,2026-03-08T05:08:41.705Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.088939,13598056168,10,14991537794,906816045,0.090962,0.088006,-0.00076919555063687,-0.85745,-153907101.45096207,-1.11916,153329026383.7052,169041653126.5791,,0.731578,-87.84291,2021-05-08T05:08:23.458Z,8.69e-05,102241.49398,2015-05-06T00:00:00.000Z,,2026-03-08T22:38:32.904Z
